"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Psychology","Appl Ergon","Last authors","New",-0.246,75,198,38.384,0.053,-0.163,0.287,0.056,-0.152,0.267,0.575,0.753
"Cardiology","BMC Cardiovasc Disord","Last authors","New",-0.084,75,423,36.407,0.104,-0.062,0.261,0.109,-0.047,0.265,0.153,0.347
"Pharmacology","Basic Clin Pharmacol Toxicol","Last authors","New",0.049,75,296,46.284,-0.059,-0.222,0.101,-0.064,-0.217,0.109,0.431,0.641
"Psychophysiology","Biol Psychol","Last authors","New",0.088,75,246,54.472,0.148,0.012,0.286,0.153,0.015,0.305,0.092,0.252
"Brain","Brain Inj","Last authors","New",-0.208,75,267,55.056,0.138,-0.021,0.297,0.134,-0.026,0.289,0.059,0.196
"Toxicology","Clin Toxicol (Phila)","Last authors","New",NA,75,284,31.69,0.017,-0.109,0.16,0.023,-0.107,0.158,0.82,0.911
"Ophthalmology","Int Ophthalmol","Last authors","New",-0.319,75,273,36.264,0.021,-0.109,0.159,0.023,-0.114,0.159,0.78,0.892
"Communicable Diseases","J Infect","Last authors","New",0.193,75,369,46.612,0.104,-0.065,0.273,0.109,-0.053,0.274,0.197,0.405
"Neurology","J Neuroinflammation","Last authors","New",0.244,75,394,50,0.081,-0.058,0.219,0.078,-0.075,0.226,0.234,0.447
"Nursing","J Nurs Adm","Last authors","New",0.05,75,204,89.706,0.08,-0.1,0.28,0.084,-0.098,0.291,0.2,0.409
"Gynecology","J Obstet Gynaecol Can","Last authors","New",NA,75,255,72.941,-0.021,-0.183,0.128,-0.023,-0.172,0.131,0.799,0.901
"Biochemistry","Mol Cell Biochem","Last authors","New",-0.076,75,319,51.411,0.048,-0.109,0.212,0.043,-0.124,0.202,0.536,0.723
"Clinical Laboratory Techniques","Nat Methods","Last authors","New",1.007,75,315,22.857,0.062,-0.095,0.25,0.063,-0.102,0.236,0.471,0.669
"Molecular Biology","Nat Struct Mol Biol","Last authors","New",0.613,75,273,31.868,0.059,-0.128,0.263,0.065,-0.127,0.255,0.551,0.733
"Nursing","Nurs Child Young People","Last authors","New",NA,75,162,84.568,0.151,-0.041,0.368,0.156,-0.031,0.371,0.073,0.221
"Pharmacology","Pharm Res","Last authors","New",0.072,75,334,37.725,0.022,-0.112,0.15,0.027,-0.096,0.154,0.729,0.867
"Orthopedics","Acta Orthop","Last authors","New",0.158,74,301,29.568,0.158,0.031,0.284,0.159,0.038,0.296,0.039,0.151
"Physical and Rehabilitation Medicine","Am J Occup Ther","Last authors","New",NA,74,213,80.751,0.052,-0.107,0.24,0.053,-0.109,0.254,0.535,0.722
"Pathology","Am J Pathol","Last authors","New",0.3,74,433,50.808,-0.047,-0.211,0.116,-0.047,-0.2,0.112,0.517,0.709
"Veterinary Medicine","Anim Cogn","Last authors","New",0.26,74,168,58.333,-0.005,-0.206,0.198,-0.005,-0.19,0.194,0.938,0.975
"Otolaryngology","Ann Otol Rhinol Laryngol","Last authors","New",-0.131,74,234,35.043,0.131,-0.034,0.31,0.129,-0.032,0.316,0.112,0.288
"Microbiology","Braz J Microbiol","Last authors","New",-0.515,74,289,52.941,0.117,-0.044,0.276,0.119,-0.033,0.266,0.12,0.3
"Molecular Biology","EMBO Rep","Last authors","New",0.377,74,255,45.882,0.195,-0.011,0.384,0.195,-0.012,0.41,0.046,0.165
"Transplantation","Exp Clin Transplant","Last authors","New",-0.547,74,325,31.077,0.206,-0.032,0.427,0.208,-0.007,0.434,0.033,0.139
"Chemistry","Faraday Discuss","Last authors","New",-0.022,74,295,23.729,0.122,-0.072,0.331,0.132,-0.065,0.345,0.149,0.342
"Audiology","Hear Res","Last authors","New",0.233,74,202,39.604,0.04,-0.134,0.218,0.048,-0.135,0.231,0.657,0.812
"Medicine","Iran J Med Sci","Last authors","New",NA,74,204,38.725,0.293,0.11,0.456,0.292,0.127,0.459,0.001,0.012
"AIDS","J Int AIDS Soc","Last authors","New",0.35,74,362,49.171,0.14,-0.011,0.289,0.142,-0.018,0.295,0.037,0.147
"Biochemistry","J Lipid Res","Last authors","New",0.147,74,340,43.529,-0.002,-0.142,0.139,0,-0.138,0.141,0.982,0.989
"Neurology","J Nerv Ment Dis","Last authors","New",-0.161,74,253,51.779,0.128,-0.031,0.277,0.129,-0.027,0.273,0.104,0.275
"Pediatrics","J Pediatr Psychol","Last authors","New",NA,74,254,75.591,0.082,-0.05,0.219,0.08,-0.056,0.209,0.246,0.46
"Medicine","JAAPA","Last authors","New",-0.9,74,123,60.976,0.1,-0.092,0.291,0.1,-0.092,0.293,0.289,0.505
"Public Health","Lancet Glob Health","Last authors","New",0.869,74,190,42.105,0.153,-0.028,0.325,0.155,0.002,0.326,0.106,0.278
"Medicine","Med Care","Last authors","New",0.184,74,280,53.929,0.11,-0.054,0.271,0.105,-0.042,0.254,0.144,0.334
"Gynecology","Menopause","Last authors","New",NA,74,288,54.167,0.101,-0.053,0.257,0.102,-0.043,0.248,0.163,0.363
"Pediatrics","Pediatr Allergy Immunol","Last authors","New",0.414,74,357,52.101,0.087,-0.055,0.228,0.082,-0.051,0.211,0.176,0.38
"Botany","Plants (Basel)","Last authors","New",NA,74,203,48.768,0.203,0.033,0.365,0.202,0.05,0.356,0.02,0.102
"Medicine","Prev Vet Med","Last authors","New",0.034,74,292,48.288,0.078,-0.056,0.219,0.079,-0.06,0.219,0.28,0.498
"Transplantation","Saudi J Kidney Dis Transpl","Last authors","New",NA,74,216,35.648,0.291,0.117,0.466,0.293,0.125,0.457,0,0
"Medicine","Saudi Med","Last authors","New",-0.555,74,228,36.842,0.295,0.105,0.473,0.29,0.1,0.465,0.001,0.012
"Substance-Related Disorders","Tob Control","Last authors","New",0.391,74,236,56.78,0.09,-0.06,0.225,0.091,-0.063,0.223,0.253,0.467
"Veterinary Medicine","Trop Anim Health Prod","Last authors","New",-0.135,74,314,34.076,-0.025,-0.158,0.097,-0.021,-0.152,0.118,0.724,0.864
"Urology","Urol Oncol","Last authors","New",NA,74,346,27.746,0.041,-0.16,0.278,0.049,-0.177,0.293,0.695,0.841
"Veterinary Medicine","Acta Vet Scand","Last authors","New",0.016,73,311,51.125,0.124,-0.007,0.255,0.126,-0.014,0.262,0.069,0.215
"Health Services","Am J Manag Care","Last authors","New",-0.118,73,242,52.893,0.079,-0.079,0.238,0.079,-0.083,0.228,0.33,0.548
"Medicine","Am J Phys Med Rehabil","Last authors","New",0.01,73,246,47.154,0.195,0.036,0.348,0.187,0.013,0.351,0.027,0.122
"Therapeutics","Am J Ther","Last authors","New",-0.268,73,200,26.5,0.173,0.006,0.349,0.174,0.009,0.35,0.041,0.155
"Biotechnology","Biotechnol Prog","Last authors","New",-0.101,73,262,38.931,0.014,-0.132,0.17,0.014,-0.123,0.154,0.856,0.931
"Neoplasms","Clin Lymphoma Myeloma Leuk","Last authors","New",-0.14,73,433,43.187,0.115,-0.067,0.292,0.115,-0.063,0.289,0.167,0.369
"Cardiology","Curr Cardiol Rep","Last authors","New",-0.104,73,141,31.915,0.161,-0.063,0.395,0.164,-0.057,0.397,0.165,0.366
"Cell Biology","Curr Opin Cell Biol","Last authors","New",0.397,73,97,34.021,0.119,-0.111,0.35,0.124,-0.107,0.361,0.312,0.531
"Gastroenterology","Dis Colon Rectum","Last authors","New",0.122,73,299,30.1,0.178,-0.027,0.391,0.182,-0.013,0.386,0.043,0.161
"Medicine","Emerg Med Australas","Last authors","New",-0.217,73,184,35.326,0.037,-0.161,0.228,0.035,-0.159,0.255,0.679,0.833
"Pharmacology","Eur J Clin Pharmacol","Last authors","New",-0.009,73,335,46.567,0.093,-0.069,0.253,0.094,-0.058,0.243,0.179,0.384
"Microbiology","Food Microbiol","Last authors","New",0.114,73,287,54.704,0.06,-0.08,0.21,0.058,-0.078,0.198,0.377,0.593
"Cardiology","G Ital Cardiol (Rome)","Last authors","New",NA,73,336,30.06,-0.043,-0.191,0.113,-0.046,-0.189,0.106,0.638,0.798
"Allergy and Immunology","Int Immunopharmacol","Last authors","New",-0.096,73,308,52.922,0.071,-0.078,0.217,0.064,-0.082,0.21,0.33,0.548
"Communicable Diseases","Int J Infect Dis","Last authors","New",-0.1,73,302,44.04,0.194,0.013,0.372,0.186,-0.011,0.358,0.019,0.099
"Neoplasms","Int J Oncol","Last authors","New",-0.025,73,402,45.274,0.051,-0.081,0.179,0.052,-0.081,0.182,0.425,0.638
"Anesthesiology","J Anaesthesiol Clin Pharmacol","Last authors","New",NA,73,188,39.894,0.325,0.151,0.514,0.334,0.166,0.509,0,0
"Psychiatry","J Behav Ther Exp Psychiatry","Last authors","New",NA,73,220,55.455,0.302,0.15,0.452,0.293,0.149,0.434,0,0
"Gastroenterology","J Clin Gastroenterol","Last authors","New",0.05,73,303,38.614,-0.001,-0.164,0.169,0.002,-0.179,0.173,0.988,0.992
"Pharmacology","J Clin Pharmacol","Last authors","New",-0.034,73,281,35.231,-0.067,-0.203,0.074,-0.066,-0.207,0.079,0.432,0.641
"Public Health","J Community Health","Last authors","New",NA,73,251,68.526,0.114,-0.042,0.277,0.112,-0.047,0.277,0.117,0.297
"General Surgery","J Refract Surg","Last authors","New",0.334,73,229,29.694,0.154,-0.054,0.37,0.154,-0.077,0.374,0.082,0.236
"Medicine","J Relig Health","Last authors","New",NA,73,171,49.123,0.209,0.048,0.37,0.215,0.043,0.371,0.012,0.076
"Biochemistry","Macromol Biosci","Last authors","New",0.073,73,323,44.892,0.172,-0.029,0.372,0.174,-0.032,0.361,0.053,0.182
"Parasitology","Mem Inst Oswaldo Cruz","Last authors","New",-0.096,73,392,56.378,0.01,-0.129,0.144,0.014,-0.115,0.141,0.874,0.939
"Pharmacology","Toxicol Appl Pharmacol","Last authors","New",0.143,73,307,48.86,0.059,-0.092,0.218,0.058,-0.099,0.212,0.429,0.64
"Neurology","eNeuro","Last authors","New",NA,73,271,37.638,0.17,0.034,0.3,0.175,0.033,0.309,0.017,0.094
"Biotechnology","Artif Cells Nanomed Biotechnol","Last authors","New",NA,72,208,40.865,0.426,0.252,0.599,0.426,0.25,0.585,0,0
"Dermatology","Australas J Dermatol","Last authors","New",-0.184,72,209,53.589,0.073,-0.087,0.233,0.072,-0.084,0.249,0.399,0.614
"Medicine","BMC Pulm Med","Last authors","New",0.062,72,399,45.113,0.008,-0.121,0.135,0.017,-0.119,0.147,0.916,0.965
"Otolaryngology","Braz J Otorhinolaryngol","Last authors","New",-0.336,72,275,46.909,0.141,-0.013,0.277,0.138,-0.006,0.284,0.036,0.145
"Microbiology","Cell Host Microbe","Last authors","New",0.647,72,265,41.887,0.137,-0.087,0.343,0.143,-0.074,0.354,0.235,0.448
"Cell Biology","Cell Stem Cell","Last authors","New",0.8,72,229,39.301,-0.053,-0.263,0.171,-0.051,-0.252,0.153,0.606,0.773
"Unclassified","Ecosal Plus","Last authors","New",NA,72,99,35.354,0.149,-0.072,0.365,0.15,-0.088,0.383,0.17,0.372
"Medicine","J Biomed Inform","Last authors","New",0.084,72,198,31.313,0.274,0.05,0.501,0.281,0.041,0.514,0.016,0.089
"Medicine","J Feline Med Surg","Last authors","New",-0.222,72,217,64.055,0.142,-0.036,0.329,0.143,-0.04,0.329,0.087,0.245
"Public Health","J Public Health Manag Pract","Last authors","New",NA,72,211,60.664,0.087,-0.088,0.256,0.088,-0.098,0.267,0.315,0.533
"General Surgery","J Robot Surg","Last authors","New",NA,72,253,20.158,0.169,-0.048,0.394,0.176,-0.028,0.404,0.076,0.226
"Microbiology","Microb Cell Fact","Last authors","New",0.121,72,287,44.599,0.044,-0.097,0.191,0.044,-0.105,0.19,0.582,0.755
"Chemistry","Nat Chem","Last authors","New",0.874,72,256,24.219,-0.043,-0.241,0.192,-0.037,-0.239,0.233,0.695,0.841
"Veterinary Medicine","Res Vet Sci","Last authors","New",0.103,72,344,55.233,0.113,-0.015,0.249,0.11,-0.022,0.246,0.107,0.279
"Medicine","Rev Soc Bras Med Trop","Last authors","New",-0.327,72,325,51.077,0.2,0.054,0.353,0.197,0.044,0.342,0.004,0.037
"Cell Biology","Rom J Morphol Embryol","Last authors","New",-0.641,72,362,62.707,0.086,-0.047,0.228,0.091,-0.055,0.24,0.161,0.361
"Medicine","Ticks Tick Borne Dis","Last authors","New",NA,72,354,43.503,0.017,-0.121,0.144,0.018,-0.109,0.135,0.754,0.881
"Veterinary Medicine","Vet Rec","Last authors","New",0.167,72,181,40.884,0.057,-0.128,0.251,0.055,-0.148,0.245,0.55,0.733
"Pediatrics","Acad Pediatr","Last authors","New",0.204,71,284,64.789,0.034,-0.12,0.18,0.034,-0.115,0.18,0.638,0.798
"Psychology","Acta Psychol (Amst)","Last authors","New",NA,71,157,50.318,0.068,-0.132,0.254,0.063,-0.147,0.275,0.514,0.707
"Zoology","Am J Primatol","Last authors","New",0.043,71,233,55.365,-0.044,-0.206,0.112,-0.037,-0.204,0.122,0.632,0.794
"Dentistry","BMC Oral Health","Last authors","New",-0.105,71,253,43.874,0.022,-0.152,0.207,0.027,-0.139,0.212,0.76,0.883
"Behavioral Sciences","Behav Res Methods","Last authors","New",NA,71,170,38.235,0.057,-0.138,0.253,0.065,-0.127,0.267,0.588,0.76
"Urology","Can Urol Assoc","Last authors","New",NA,71,294,11.905,-0.119,-0.159,-0.08,-0.119,-0.162,-0.078,0.417,0.631
"Unclassified","Cephalalgia","Last authors","New",0.508,71,277,45.848,-0.003,-0.152,0.145,-0.004,-0.154,0.143,0.963,0.983
"Cardiology","Circ Arrhythm Electrophysiol","Last authors","New",NA,71,336,22.917,0.32,-0.039,0.645,0.343,0.004,0.697,0.028,0.124
"Medicine","Clin Sci","Last authors","New",0.394,71,350,50.286,0.104,-0.052,0.271,0.1,-0.062,0.261,0.181,0.385
"Pediatrics","Curr Opin Pediatr","Last authors","New",0.16,71,117,62.393,-0.052,-0.269,0.151,-0.051,-0.275,0.165,0.632,0.794
"Psychology","Emotion","Last authors","New",NA,71,173,57.803,0.254,0.076,0.433,0.254,0.089,0.422,0.007,0.054
"Hematology","Eur J Haematol","Last authors","New",-0.01,71,447,46.085,0.156,0.019,0.278,0.153,0.019,0.284,0.021,0.105
"Neurology","Expert Rev Neurother","Last authors","New",-0.013,71,174,39.655,0.022,-0.203,0.242,0.028,-0.193,0.248,0.843,0.923
"Health Services","Health Econ","Last authors","New",-0.005,71,175,35.429,0.167,-0.057,0.37,0.169,-0.03,0.396,0.109,0.283
"Psychiatry","Int J Geriatr Psychiatry","Last authors","New",NA,71,329,48.632,-0.004,-0.153,0.15,-0.009,-0.165,0.157,0.962,0.982
"Ophthalmology","Int J Ophthalmol","Last authors","New",NA,71,250,32,0.16,-0.008,0.342,0.163,-0.005,0.334,0.038,0.148
"Chemistry Techniques, Analytical","J AOAC Int","Last authors","New",-0.368,71,263,41.825,0.064,-0.102,0.226,0.066,-0.082,0.218,0.454,0.654
"Medicine","J Bone Miner Res","Last authors","New",0.445,71,401,49.626,0.163,-0.021,0.322,0.165,-0.004,0.33,0.01,0.067
"Genetics","J Genet Couns","Last authors","New",-0.174,71,251,75.697,0.058,-0.06,0.187,0.06,-0.079,0.194,0.466,0.666
"Anthropology","J Hum Evol","Last authors","New",0.189,71,222,36.937,0.01,-0.176,0.223,0.01,-0.19,0.215,0.904,0.959
"Neurology","J Neuroimmunol","Last authors","New",-0.021,71,339,47.788,0.04,-0.123,0.191,0.038,-0.112,0.186,0.58,0.754
"Nursing","J Nurs Educ","Last authors","New",0.019,71,156,89.103,0.074,-0.089,0.29,0.078,-0.094,0.297,0.306,0.527
"Obstetrics","J Obstet Gynaecol Res","Last authors","New",-0.311,71,273,42.491,0.203,0.003,0.37,0.205,0.007,0.379,0.009,0.063
"Neoplasms","J Oncol Pharm Pract","Last authors","New",NA,71,220,51.818,0.229,0.068,0.41,0.229,0.054,0.385,0.005,0.043
"Pediatrics","Pediatr Phys Ther","Last authors","New",-0.141,71,139,82.014,0.002,-0.151,0.168,0.005,-0.15,0.167,0.979,0.988
"Pediatrics","Pediatr Transplant","Last authors","New",-0.074,71,312,41.667,0.076,-0.054,0.21,0.077,-0.072,0.225,0.273,0.492
"Biochemistry","Peptides","Last authors","New",-0.089,71,290,52.759,0.087,-0.039,0.211,0.085,-0.041,0.226,0.287,0.505
"Biology","Photochem Photobiol","Last authors","New",-0.053,71,213,43.662,0.094,-0.127,0.298,0.094,-0.11,0.298,0.274,0.493
"Biology","Photochem Photobiol Sci","Last authors","New",-0.007,71,237,29.114,0.213,-0.052,0.481,0.215,-0.056,0.47,0.06,0.197
"Hematology","Semin Thromb Hemost","Last authors","New",0.129,71,182,41.209,-0.004,-0.218,0.222,-0.005,-0.194,0.206,0.969,0.985
"Cell Biology","Stem Cell Res Ther","Last authors","New",0.104,71,361,48.476,0.077,-0.067,0.219,0.078,-0.052,0.223,0.249,0.463
"Biology","Trends Ecol Evol (Amst)","Last authors","New",NA,71,196,32.653,0.012,-0.177,0.2,0.017,-0.161,0.213,0.919,0.966
"Hematology","Turk J Haematol","Last authors","New",NA,71,218,43.119,0.016,-0.167,0.194,0.014,-0.174,0.193,0.858,0.932
"Urology","Urol Int","Last authors","New",NA,71,388,22.68,0.009,-0.137,0.158,0.015,-0.137,0.167,0.911,0.963
"Medicine","Z Evid Fortbild Qual Gesundhwes","Last authors","New",NA,71,200,52.5,0.095,-0.113,0.291,0.094,-0.112,0.298,0.278,0.496
"Chemistry Techniques, Analytical","Acta Crystallogr C Struct Chem","Last authors","New",-0.65,70,191,31.937,0.041,-0.158,0.281,0.051,-0.148,0.272,0.697,0.843
"Anatomy","Anat Rec (Hoboken)","Last authors","New",NA,70,218,44.954,0.143,-0.037,0.315,0.144,-0.04,0.31,0.088,0.247
"Transplantation","Artif Organs","Last authors","New",-0.028,70,311,30.868,-0.026,-0.163,0.113,-0.026,-0.169,0.1,0.732,0.868
"Physiology","Chronobiol Int","Last authors","New",0.153,70,265,50.566,0.149,0.008,0.292,0.15,0.02,0.293,0.045,0.164
"Medicine","Clin J Pain","Last authors","New",0.129,70,278,43.165,0.124,-0.019,0.257,0.124,-0.018,0.29,0.057,0.191
"Psychology","Cogn Emot","Last authors","New",NA,70,159,57.862,0.13,-0.049,0.309,0.126,-0.078,0.304,0.146,0.337
"Pharmacology","Drug Metab Dispos","Last authors","New",0.065,70,289,39.1,-0.06,-0.209,0.091,-0.058,-0.216,0.086,0.441,0.644
"Medicine","Fam Med","Last authors","New",-0.313,70,226,57.965,0.252,0.085,0.418,0.255,0.087,0.415,0.001,0.012
"Medicine","Genet Med","Last authors","New",0.582,70,467,60.385,0.226,0.093,0.363,0.228,0.099,0.348,0.001,0.012
"Medicine","IEEE Trans Med Imaging","Last authors","New",0.27,70,254,18.11,0.174,-0.052,0.429,0.174,-0.072,0.446,0.037,0.147
"Health Services Research","J Eval Clin Pract","Last authors","New",-0.231,70,195,49.744,-0.068,-0.256,0.119,-0.059,-0.231,0.145,0.44,0.644
"Cardiology","J Invasive Cardiol","Last authors","New",-0.32,70,263,20.532,-0.042,-0.149,0.069,-0.035,-0.143,0.087,0.676,0.832
"Medicine","J Med Ethics","Last authors","New",-0.058,70,158,48.101,0.106,-0.094,0.295,0.11,-0.095,0.316,0.283,0.501
"Anatomy","J Morphol","Last authors","New",-0.086,70,202,37.624,0.066,-0.126,0.266,0.062,-0.116,0.246,0.447,0.648
"Unclassified","J Neural Transm (Vienna)","Last authors","New",NA,70,330,37.273,0.009,-0.177,0.207,0.004,-0.18,0.216,0.937,0.975
"Cardiology","JACC Heart Fail","Last authors","New",NA,70,266,27.444,-0.151,-0.266,-0.021,-0.131,-0.247,0.012,0.264,0.479
"Unclassified","JMIR Mhealth Uhealth","Last authors","New",NA,70,274,62.409,0.362,0.211,0.517,0.365,0.198,0.515,0,0
"Genetics, Medical","Mol Ther","Last authors","New",0.406,70,407,41.032,-0.119,-0.264,0.024,-0.118,-0.254,0.018,0.235,0.448
"Ophthalmology","Ophthalmic Surg Lasers Imaging Retina","Last authors","New",NA,70,218,29.817,0.094,-0.14,0.328,0.093,-0.145,0.316,0.375,0.593
"Neoplasms","Oral Oncol","Last authors","New",0.127,70,292,41.438,-0.041,-0.212,0.13,-0.044,-0.224,0.135,0.617,0.782
"Medicine","Prehosp Disaster Med","Last authors","New",NA,70,251,36.255,0.062,-0.116,0.239,0.063,-0.113,0.234,0.496,0.69
"Biochemistry","Proteins","Last authors","New",-0.095,70,193,25.907,-0.089,-0.238,0.073,-0.087,-0.244,0.083,0.351,0.569
"Physiology","Respir Physiol Neurobiol","Last authors","New",NA,70,245,37.551,0.193,-0.002,0.394,0.194,0.004,0.39,0.044,0.162
"Medicine","Shock","Last authors","New",0.179,70,377,32.891,-0.01,-0.172,0.172,-0.006,-0.173,0.195,0.922,0.966
"General Surgery","Surg Infect (Larchmt)","Last authors","New",NA,70,295,35.593,0.194,0.045,0.357,0.199,0.043,0.343,0.019,0.099
"Veterinary Medicine","Vet J","Last authors","New",NA,70,228,48.246,0.085,-0.085,0.245,0.082,-0.078,0.239,0.317,0.536
"Psychology","Behav Res Ther","Last authors","New",NA,69,267,65.918,0.105,-0.039,0.25,0.102,-0.046,0.245,0.137,0.324
"Orthopedics","Case Rep Orthop","Last authors","New",NA,69,244,10.656,-0.111,-0.163,-0.067,-0.106,-0.161,-0.06,0.307,0.527
"Neoplasms","Clin Genitourin Cancer","Last authors","New",-0.09,69,404,31.188,-0.001,-0.155,0.148,0.004,-0.149,0.156,0.986,0.992
"Virology","Curr Opin Virol","Last authors","New",0.321,69,110,40,-0.045,-0.284,0.214,-0.052,-0.304,0.191,0.716,0.858
"Toxicology","Ecotoxicology","Last authors","New",-0.02,69,246,47.154,0.012,-0.145,0.171,0.011,-0.147,0.158,0.885,0.946
"Nutritional Sciences","Endocrinol Nutr","Last authors","New",NA,69,242,52.893,0.038,-0.11,0.18,0.038,-0.105,0.192,0.612,0.778
"Toxicology","Expert Opin Drug Metab Toxicol","Last authors","New",0.027,69,191,50.262,-0.109,-0.327,0.095,-0.109,-0.324,0.101,0.306,0.527
"Cardiology","Indian Heart","Last authors","New",NA,69,189,10.582,0.156,-0.064,0.388,0.169,-0.056,0.411,0.07,0.215
"Biochemistry","Int J Biochem Cell Biol","Last authors","New",0.099,69,287,59.93,0.037,-0.137,0.205,0.037,-0.155,0.189,0.661,0.815
"Molecular Biology","J Biomol Struct Dyn","Last authors","New",-0.15,69,203,41.379,0.073,-0.098,0.253,0.08,-0.075,0.235,0.42,0.633
"Pulmonary Medicine","J Bras Pneumol","Last authors","New",-0.399,69,254,38.583,0.194,0.013,0.359,0.197,0.01,0.367,0.023,0.111
"Cardiology","J Electrocardiol","Last authors","New",-0.256,69,277,21.3,0.156,-0.01,0.311,0.156,-0.001,0.311,0.052,0.18
"Neurology","Neurourol Urodyn","Last authors","New",0.071,69,349,35.244,0.097,-0.08,0.264,0.099,-0.076,0.281,0.171,0.374
"Medicine","Palliat Med","Last authors","New",0.262,69,258,64.729,0.076,-0.079,0.221,0.074,-0.066,0.235,0.287,0.505
"Medicine","Pathog Dis","Last authors","New",0.09,69,205,51.707,0.089,-0.081,0.269,0.087,-0.097,0.24,0.315,0.533
"Pathology","Pathology","Last authors","New",0.148,69,238,41.176,0.143,-0.009,0.308,0.145,-0.011,0.309,0.095,0.258
"Physiology","Pflugers Arch","Last authors","New",0.167,69,280,41.429,-0.023,-0.189,0.139,-0.025,-0.207,0.147,0.778,0.892
"Botany","Planta","Last authors","New",-0.083,69,251,51.793,0.128,-0.018,0.283,0.125,-0.03,0.269,0.11,0.285
"Medicine","South Med J","Last authors","New",NA,69,213,49.765,0.052,-0.135,0.22,0.057,-0.128,0.226,0.559,0.739
"Cell Biology","Stem Cells Dev","Last authors","New",0.027,69,432,50.694,-0.036,-0.157,0.096,-0.037,-0.161,0.093,0.561,0.742
"Brain","Brain Stimul","Last authors","New",0.212,68,270,40,-0.225,-0.423,0.049,-0.213,-0.409,0.076,0.102,0.271
"Pharmacology","Clin Pharmacol Drug Dev","Last authors","New",NA,68,278,37.05,0.071,-0.091,0.248,0.068,-0.104,0.247,0.418,0.631
